sample,category,value
P108Liv1,Tissue,Liver
P108Liv2,Tissue,Liver
P108Lun1,Tissue,Lung
P108Lun2,Tissue,Lung
P108Pri,Tissue,Primary
P109Liv1,Tissue,Liver
P109Liv2,Tissue,Liver
P109Lym,Tissue,Lymph
P109Pel_Lym,Tissue,Lymph
P109Pri,Tissue,Primary
P070Liver1,Tissue,Liver
P070Liver2,Tissue,Liver
P070Mes,Tissue,Other
P070PeA_Lym,Tissue,Other
P070Pan,Tissue,Other
P070Pri,Tissue,Primary
P079Liv1,Tissue,Liver
P079LIv2,Tissue,Liver
P079Lym1,Tissue,Lymph
P079Lym2,Tissue,Lymph
P079Int,Tissue,Other
P079Pri,Tissue,Primary
P097Lun1,Tissue,Lung
P097Rlun,Tissue,Other
P097Liv1,Tissue,Liver
P097Liv2,Tissue,Liver
P097Pri,Tissue,Primary
P020Met1,Tissue,Other
P020Lun1,Tissue,Lung
P020Ple,Tissue,Other
P020Met2,Tissue,Other
P020Pri,Tissue,Primary
P026Ome1,Tissue,Other
P026Bow,Tissue,Other
P026Ome2,Tissue,Other
P026Met,Tissue,Other
P026Pri,Tissue,Primary
P030Liv,Tissue,Liver
P030Adr,Tissue,Other
P030Lab,Tissue,Other
P030Peri,Tissue,Other
P030Pri,Tissue,Primary
P047Lun1,Tissue,Lung
P047Art,Tissue,Other
P047Pri,Tissue,Primary
P071Mes,Tissue,Other
P071Ome1,Tissue,Other
P071Ome2,Tissue,Other
P071Pri,Tissue,Primary
P016Rec,Tissue,Other
P016Pri,Tissue,Primary
P065Ute,Tissue,Other
P065Lym,Tissue,Lymph
P065Pri,Tissue,Primary
P101Liv1,Tissue,Liver
P101Liv2,Tissue,Liver
P101Pri,Tissue,Primary
P120Lym1,Tissue,Lymph
P120Lym2,Tissue,Lymph
P120Lym3,Tissue,Lymph
P120Pri,Tissue,Primary
P001Liv1,Tissue,Liver
P001Liv2,Tissue,Liver
P001Lym1,Tissue,Lymph
P001Pri,Tissue,Primary
P004Pri,Tissue,Primary
P004Liv1,Tissue,Liver
P004Adr,Tissue,Other
P004Lym1,Tissue,Lymph
P004Lung,Tissue,Lung
P004Lym3,Tissue,Lymph
P022Ade,Tissue,Other
P022Liv,Tissue,Liver
P022Lun,Tissue,Lung
P022Pri,Tissue,Primary
P037Liv1,Tissue,Liver
P037Liv2,Tissue,Liver
P037Lym1,Tissue,Lymph
P037Pan,Tissue,Other
P037Per,Tissue,Other
P037Pri,Tissue,Primary
P044Liv1,Tissue,Liver
P044Liv2,Tissue,Liver
P044Pel,Tissue,Other
P044Lym,Tissue,Lymph
P044Lun,Tissue,Lung
P044Pri,Tissue,Primary
P007Pri,Tissue,Primary
P007Lym1,Tissue,Lymph
P007Lym2,Tissue,Lymph
