chr1	pos1	dir1	chr2	pos2	dir2	tumour_copynumber1	tumour_copynumber2	multiplicity1	multiplicity2
chr1	15850663	+	chr1	15899038	-	3	3	2	2
chr1	15904254	+	chr1	15905564	-	3	3	2	2
chr1	21061861	+	chr1	21078409	-	3	3	1	1
chr1	27432275	+	chr1	27585874	-	3	3	2	1
chr1	35183852	+	chr1	35184826	-	3	3	2	2
chr1	55156351	+	chr1	55158510	-	3	3	2	2
chr1	58449697	-	chr1	58660435	+	3	3	1	2
chr1	69556163	+	chr1	102270705	+	3	3	1	1
chr1	77728686	+	chr1	77941196	-	2	2	1	1
chr1	84049325	+	chr5	30926791	-	2	3	1	1
chr1	102259973	-	chr4	147975379	+	3	3	1	1
chr1	107586198	+	chr1	107588586	-	2	2	1	1
chr1	151094135	-	chr1	186235167	+	3	4	2	1
chr1	151748466	-	chr1	152514036	+	4	4	1	1
chr1	151881621	-	chr1	152850410	+	5	4	1	1
chr1	151886352	+	chr17	41729008	+	5	4	1	1
chr1	151946006	-	chr1	152056098	+	5	5	3	3
chr1	152650031	-	chr19	29043854	+	5	8	2	2
chr1	163095572	+	chr13	62019216	-	4	2	1	1
chr1	181338521	-	chr17	67375427	+	5	7	3	4
chr1	182450747	-	chr17	34634791	+	5	5	1	1
chr1	186121827	-	chr1	186233796	-	8	4	1	1
chr1	186230228	+	chr1	186235579	-	8	4	1	1
chr1	186255650	+	chr18	25736425	-	8	7	5	5
chr1	189132744	-	chr1	189224782	-	2	9	2	7
chr1	189148304	+	chr1	189282131	-	2	9	2	4
chr1	189290884	+	chr18	26314565	+	2	10	2	8
chr1	189461742	+	chr1	193128466	-	9	8	7	6
chr1	190084819	-	chr1	190118926	-	3	7	3	5
chr1	196705039	-	chr13	111458682	+	9	3	2	2
chr1	196716233	+	chr1	196719808	+	9	9	1	1
chr1	198277176	-	chr4	107573763	+	6	5	3	3
chr1	208097534	+	chr1	208167579	-	4	4	4	4
chr1	220673559	-	chr1	221027917	+	5	4	2	1
chr1	223890331	-	chr19	30202477	+	6	8	2	2
chr1	228187700	-	chr1	230598581	+	5	5	1	1
chr1	235643644	+	chr1	246263865	-	5	3	1	2
chr2	20301952	+	chr2	20331704	-	3	3	1	1
chr2	35608151	-	chr22	28669579	+	3	5	1	1
chr2	39170552	+	chr2	39289190	-	3	3	2	1
chr2	53537965	+	chr2	53539243	-	3	3	2	2
chr2	53540235	+	chr2	53545557	-	3	3	1	1
chr2	72378837	+	chr19	39373687	-	3	10	2	2
chr2	72378849	-	chr2	72393722	-	3	3	2	2
chr2	72384748	-	chr2	72390031	-	3	3	2	1
chr2	78774410	+	chr2	152030307	-	4	5	2	2
chr2	84674638	+	chr2	85000558	-	2	2	1	1
chr2	96184206	-	chr2	191556343	+	5	3	3	2
chr2	100497362	-	chr2	181187679	+	5	5	1	1
chr2	100513880	+	chr2	181184166	-	5	5	1	1
chr2	100669426	-	chr2	103272216	+	2	2	1	1
chr2	100682303	-	chr2	181186795	+	2	5	1	1
chr2	103271716	+	chr2	103275623	+	5	2	1	1
chr2	148043325	+	chr2	148166767	-	3	3	1	1
chr2	159776059	+	chr2	160374231	-	4	5	2	1
chr2	160341097	+	chr2	160348104	-	3	5	2	3
chr2	181187548	-	chr2	182164176	+	5	7	1	1
chr2	182165279	+	chr2	182166351	-	4	7	1	1
chr2	182311950	-	chr6	35352037	-	6	3	2	1
chr2	185527502	+	chr2	185806882	-	5	5	2	2
chr2	197440819	-	chr2	200488820	+	3	3	1	2
chr2	233748060	-	chr2	233907745	+	2	2	2	2
chr3	3810935	+	chr3	6955601	-	6	7	1	1
chr3	3835649	+	chr3	3838103	-	6	4	1	1
chr3	3857673	+	chr3	6955670	+	6	7	1	1
chr3	6774070	-	chr19	30135027	+	7	8	1	1
chr3	7301854	-	chr3	46888447	+	4	4	2	1
chr3	9049389	+	chr3	9060534	-	4	6	2	3
chr3	11183362	+	chr3	11318837	-	6	8	2	2
chr3	11308982	+	chr3	11319305	-	6	8	2	3
chr3	12119584	-	chr3	12120583	-	8	8	2	1
chr3	12205007	-	chr10	75587961	-	8	4	1	1
chr3	12205727	-	chr10	75468515	-	8	3	1	2
chr3	12520087	+	chr3	12520828	+	8	8	1	1
chr3	18476546	-	chr3	20009533	+	4	4	2	2
chr3	27118597	-	chr22	45657493	+	4	2	2	2
chr3	37531936	+	chr3	37686204	-	2	4	1	1
chr3	37603216	-	chr17	30631708	+	4	6	3	3
chr3	46826530	-	chr17	31769522	-	6	6	3	3
chr3	46984983	+	chr3	47398907	-	6	5	1	1
chr3	48710139	+	chr3	48989039	-	4	5	3	4
chr3	71234063	+	chr3	71495319	-	2	2	1	1
chr3	72946048	+	chr3	73001740	-	2	2	1	1
chr3	94097446	-	chr8	1070424	+	5	2	2	1
chr3	136156690	+	chr3	136733867	-	5	5	1	1
chr3	136738987	+	chr3	136744791	-	3	5	2	3
chr3	141531279	+	chr3	141545809	-	5	5	2	2
chr3	144042777	+	chr3	144080352	-	5	5	2	2
chr3	177181765	+	chr3	177210745	-	5	5	2	2
chr4	1921521	+	chr4	2351394	-	2	2	2	2
chr4	39828242	+	chr4	40138509	-	2	2	1	1
chr4	53566222	-	chr4	56901711	+	2	2	1	1
chr4	56706138	-	chr4	56759304	-	2	3	1	1
chr4	56749070	+	chr4	61121129	-	2	4	1	1
chr4	83134924	+	chr22	49783389	-	2	2	1	1
